power,threads,time,abs_err,rel_err
16,64,2.3321885,0.0,0.0
16,128,2.478835,0.0,0.0
16,256,2.5562915,0.0,0.0
16,512,2.3095315,0.0,0.0
16,1024,2.6298195,0.0,0.0
18,64,3.0006495,0.0,0.0
18,128,3.2402625,0.0,0.0
18,256,3.400106,0.0,0.0
18,512,2.761267,0.0,0.0
18,1024,3.1826754999999998,0.0,0.0
20,64,2.994478,0.0,0.0
20,128,3.462984,0.0,0.0
20,256,3.3723579999999997,0.0,0.0
20,512,2.9838425,0.0,0.0
20,1024,2.9461055000000003,0.0,0.0
22,64,3.2199820000000003,0.0,0.0
22,128,3.3032310000000003,0.0,0.0
22,256,3.286273,0.0,0.0
22,512,3.131078,0.0,0.0
22,1024,3.3985790000000002,0.0,0.0
24,64,4.090604000000001,0.0,0.0
24,128,3.5898449999999995,0.0,0.0
24,256,3.388539,0.0,0.0
24,512,3.5348215000000005,0.0,0.0
24,1024,4.027253,0.0,0.0
26,64,5.295982,0.0,0.0
26,128,5.513122,0.0,0.0
26,256,5.4043730000000005,0.0,0.0
26,512,5.0734685,0.0,0.0
26,1024,6.2456985000000005,0.0,0.0
