power,threads,time,abs_err,rel_err
16,64,2.360636,0.0,0.0
16,128,2.3853435000000003,0.0,0.0
16,256,2.3172105,0.0,0.0
16,512,2.2758555,0.0,0.0
16,1024,2.713689,0.0,0.0
18,64,2.776296,0.0,0.0
18,128,3.1677255,0.0,0.0
18,256,2.7661595,0.0,0.0
18,512,2.72018,0.0,0.0
18,1024,2.930773,0.0,0.0
20,64,2.997386,0.0,0.0
20,128,3.324494,0.0,0.0
20,256,2.676082,0.0,0.0
20,512,2.7586885,0.0,0.0
20,1024,2.924913,0.0,0.0
22,64,3.0047115,0.0,0.0
22,128,3.4765945,0.0,0.0
22,256,2.7327585,0.0,0.0
22,512,2.689701,0.0,0.0
22,1024,3.053796,0.0,0.0
24,64,4.1577015,0.0,0.0
24,128,3.6637815,0.0,0.0
24,256,3.2308015,0.0,0.0
24,512,3.3113175,0.0,0.0
24,1024,3.679093,0.0,0.0
26,64,5.2780955,0.0,0.0
26,128,5.0982085,0.0,0.0
26,256,5.017274,0.0,0.0
26,512,5.0349635,0.0,0.0
26,1024,6.0202385,0.0,0.0
