power,threads,time,abs_err,rel_err
16,64,1.54227,0,0
16,64,1.96387,0,0
16,64,1.61408,0,0
16,64,1.36083,0,0
16,64,1.85338,0,0
16,64,1.5784,0,0
16,64,2.07245,0,0
16,64,1.49184,0,0
16,64,1.41085,0,0
16,64,1.54883,0,0
18,64,1.35888,0,0
18,64,1.8167,0,0
18,64,1.60995,0,0
18,64,1.4279,0,0
18,64,1.51741,0,0
18,64,1.4561,0,0
18,64,1.73094,0,0
18,64,1.40166,0,0
18,64,1.62365,0,0
18,64,1.41069,0,0
20,64,1.77872,0,0
20,64,1.9209,0,0
20,64,1.42829,0,0
20,64,1.47936,0,0
20,64,1.60944,0,0
20,64,1.50608,0,0
20,64,1.4432,0,0
20,64,1.45293,0,0
20,64,1.78275,0,0
20,64,1.61754,0,0
22,64,2.40093,0,0
22,64,1.79658,0,0
22,64,2.18675,0,0
22,64,2.06496,0,0
22,64,1.7489,0,0
22,64,1.98758,0,0
22,64,1.94339,0,0
22,64,1.91306,0,0
22,64,1.77792,0,0
22,64,1.86019,0,0
24,64,2.64419,0,0
24,64,2.7463,0,0
24,64,2.85485,0,0
24,64,2.68125,0,0
24,64,2.82125,0,0
24,64,3.65603,0,0
24,64,2.7945,0,0
24,64,2.87222,0,0
24,64,3.23674,0,0
24,64,2.83242,0,0
26,64,7.07206,0,0
26,64,5.87485,0,0
26,64,6.05837,0,0
26,64,6.03037,0,0
26,64,5.78429,0,0
26,64,6.29923,0,0
26,64,6.78813,0,0
26,64,6.1456,0,0
26,64,6.78406,0,0
26,64,6.65347,0,0
16,128,1.58451,0,0
16,128,1.50947,0,0
16,128,1.47581,0,0
16,128,1.5768,0,0
16,128,1.50195,0,0
16,128,1.52944,0,0
16,128,1.4041,0,0
16,128,1.66291,0,0
16,128,1.79754,0,0
16,128,1.45088,0,0
18,128,1.55197,0,0
18,128,1.60326,0,0
18,128,1.63824,0,0
18,128,1.65642,0,0
18,128,1.64262,0,0
18,128,1.40246,0,0
18,128,1.76691,0,0
18,128,1.37213,0,0
18,128,1.4919,0,0
18,128,1.47878,0,0
20,128,1.66688,0,0
20,128,1.54656,0,0
20,128,1.56314,0,0
20,128,1.92288,0,0
20,128,1.46698,0,0
20,128,1.37642,0,0
20,128,1.60333,0,0
20,128,2.1255,0,0
20,128,1.38867,0,0
20,128,2.12422,0,0
22,128,1.87936,0,0
22,128,2.01443,0,0
22,128,1.93568,0,0
22,128,1.78688,0,0
22,128,1.92179,0,0
22,128,2.04576,0,0
22,128,2.10614,0,0
22,128,2.07382,0,0
22,128,1.90333,0,0
22,128,2.39837,0,0
24,128,2.92541,0,0
24,128,2.7729,0,0
24,128,3.42605,0,0
24,128,2.76531,0,0
24,128,2.65475,0,0
24,128,2.75555,0,0
24,128,3.59549,0,0
24,128,3.54442,0,0
24,128,3.00195,0,0
24,128,2.80605,0,0
26,128,7.74694,0,0
26,128,6.87808,0,0
26,128,7.32896,0,0
26,128,7.01104,0,0
26,128,6.96262,0,0
26,128,7.56589,0,0
26,128,6.6184,0,0
26,128,6.90659,0,0
26,128,6.89888,0,0
26,128,7.6937,0,0
16,128,90.482,4.84407e+12,48.6804
16,128,2.43315,4.84407e+12,48.6804
16,128,2.25616,4.84407e+12,48.6804
16,128,2.19053,0,0
16,128,2.77482,0,0
16,128,2.33616,0,0
16,128,2.56333,0,0
16,128,2.2656,4.84407e+12,48.6804
16,128,2.26294,4.84407e+12,48.6804
