power,threads,time,abs_err,rel_err
16,128,1.26038,4.84407e+12,48.6804
16,128,1.56416,4.84407e+12,48.6804
16,128,1.59494,4.84407e+12,48.6804
16,128,1.63552,4.84407e+12,48.6804
16,128,1.48832,4.84407e+12,48.6804
16,128,1.4392,4.84407e+12,48.6804
16,128,1.49392,4.84407e+12,48.6804
16,128,1.62874,4.84407e+12,48.6804
16,128,1.96618,4.84407e+12,48.6804
16,128,1.58621,4.84407e+12,48.6804
18,128,1.52211,3.87689e+13,390.879
18,128,1.94246,3.87689e+13,390.879
18,128,1.65962,3.87689e+13,390.879
18,128,2.78256,3.87689e+13,390.879
18,128,1.64854,3.87689e+13,390.879
18,128,2.05411,3.87689e+13,390.879
18,128,1.53712,3.87689e+13,390.879
18,128,1.55891,3.87689e+13,390.879
18,128,1.66506,3.87689e+13,390.879
18,128,1.77008,3.87689e+13,390.879
20,128,1.4233,3.09891e+14,3253.67
20,128,1.43808,3.09891e+14,3253.67
20,128,1.64406,3.09891e+14,3253.67
20,128,1.9847,3.09891e+14,3253.67
20,128,1.6631,3.09891e+14,3253.67
20,128,1.73904,3.09891e+14,3253.67
20,128,1.72214,3.09891e+14,3253.67
20,128,1.568,3.09891e+14,3253.67
20,128,1.87514,3.09891e+14,3253.67
20,128,1.50701,3.09891e+14,3253.67
22,128,2.07629,2.4792e+15,31578.9
22,128,1.70864,2.4792e+15,31578.9
22,128,1.7936,2.4792e+15,31578.9
22,128,2.43018,2.4792e+15,31578.9
22,128,2.01235,2.4792e+15,31578.9
22,128,1.71139,2.4792e+15,31578.9
22,128,1.78518,2.4792e+15,31578.9
22,128,1.77725,2.4792e+15,31578.9
22,128,1.93341,2.4792e+15,31578.9
22,128,1.80317,2.4792e+15,31578.9
24,128,2.63594,1.98409e+16,0
24,128,2.40931,1.98409e+16,0
24,128,2.35648,1.98409e+16,0
24,128,2.32944,1.98409e+16,0
24,128,2.23747,1.98409e+16,0
24,128,2.28237,1.98409e+16,0
24,128,2.40064,1.98409e+16,0
24,128,2.37341,1.98409e+16,0
24,128,2.73773,1.98409e+16,0
24,128,2.24118,1.98409e+16,0
26,128,5.31766,1.58705e+17,699698
26,128,4.36774,1.58705e+17,699698
26,128,4.43338,1.58705e+17,699698
26,128,4.31094,1.58705e+17,699698
26,128,4.54614,1.58705e+17,699698
26,128,3.99997,1.58705e+17,699698
26,128,4.71779,1.58705e+17,699698
26,128,5.04486,1.58705e+17,699698
26,128,3.88864,1.58705e+17,699698
26,128,4.49866,1.58705e+17,699698
