power,processes,time,abs_err,rel_err
16,4,0.2917669,0.0,0.0
16,6,0.2483378,0.0,0.0
16,8,0.2662716,0.0,0.0
16,10,0.3289227,0.0,0.0
16,12,5.260644399999999,0.0,0.0
18,4,1.0177557,0.0,0.0
18,6,0.7583968,0.0,0.0
18,8,0.7994491,0.0,0.0
18,10,1.0679022,0.0,0.0
18,12,5.0870714999999995,0.0,0.0
20,4,4.023169,0.0,0.0
20,6,3.269572,0.0,0.0
20,8,2.7468,0.0,0.0
20,10,3.3190869999999997,0.0,0.0
20,12,10.118572,0.0,0.0
22,4,16.4317,0.0,0.0
22,6,12.65991,0.0,0.0
22,8,10.449052,0.0,0.0
22,10,10.02763,0.0,0.0
22,12,10.337211,0.0,0.0
24,4,60.9098,0.0,0.0
24,6,50.898450000000004,0.0,0.0
24,8,42.67663,0.0,0.0
24,10,38.57282,0.0,0.0
24,12,39.920910000000006,0.0,0.0
26,4,254.9821,0.0,0.0
26,6,237.84288888888892,0.0,0.0
26,8,187.831,0.0,0.0
26,10,170.6033,0.0,0.0
26,12,174.24759999999998,0.0,0.0
