power,processes,time,abs_err,rel_err
16,4,0.29228994999999997,0.0,0.0
16,6,0.24994565,0.0,0.0
16,8,0.26688225,0.0,0.0
16,10,0.3082529,0.0,0.0
16,12,0.5738502000000001,0.0,0.0
18,4,1.0040448,0.0,0.0
18,6,0.8277628,0.0,0.0
18,8,0.75819795,0.0,0.0
18,10,0.9355521,0.0,0.0
18,12,2.6512936,0.0,0.0
20,4,4.0404815,0.0,0.0
20,6,3.2459055,0.0,0.0
20,8,2.6749765,0.0,0.0
20,10,3.448981,0.0,0.0
20,12,2.6390149999999997,0.0,0.0
22,4,16.40105,0.0,0.0
22,6,12.789255,0.0,0.0
22,8,10.2961835,0.0,0.0
22,10,10.24082,0.0,0.0
22,12,12.718953,0.0,0.0
24,4,112.36010000000002,0.0,0.0
24,6,52.94490499999999,0.0,0.0
24,8,43.71154,0.0,0.0
24,10,39.27091,0.0,0.0
24,12,39.89943,0.0,0.0
26,4,256.04769999999996,0.0,0.0
26,6,252.99349999999998,0.0,0.0
26,8,168.00565,0.0,0.0
26,10,273.4004,0.0,0.0
26,12,165.4793,0.0,0.0
