power,processes,time,abs_err,rel_err
16,4,0.2793545238095238,0.0,0.0
16,6,0.2658738,0.0,0.0
16,8,0.27882185000000004,0.0,0.0
16,10,0.39679655,0.0,0.0
16,12,4.76455,0.0,0.0
18,4,0.87578815,0.0,0.0
18,6,0.8156249499999999,0.0,0.0
18,8,0.7494135,0.0,0.0
18,10,1.3327356,0.0,0.0
18,12,6.1082218500000005,0.0,0.0
20,4,3.7797125,0.0,0.0
20,6,3.3398670000000004,0.0,0.0
20,8,2.8510285,0.0,0.0
20,10,3.0587815,0.0,0.0
20,12,9.5039265,0.0,0.0
22,4,16.33837,0.0,0.0
22,6,13.0023,0.0,0.0
22,8,10.3558305,0.0,0.0
22,10,12.379925,0.0,0.0
22,12,16.526545,0.0,0.0
24,4,62.383669999999995,0.0,0.0
24,6,49.147505,0.0,0.0
24,8,40.865605,0.0,0.0
24,10,41.709185000000005,0.0,0.0
24,12,38.05003,0.0,0.0
26,4,261.18870000000004,0.0,0.0
26,6,212.72505,0.0,0.0
26,8,185.5295,0.0,0.0
26,10,198.805,0.0,0.0
26,12,211.25680000000003,0.0,0.0
