power,processes,time,abs_err,rel_err
16,4,0.7867413,0.0222333,4.58312e-15
16,6,0.7681798,65666000000.0,0.013536200000000002
16,8,0.8476962,0.030010799999999997,6.18635e-15
16,10,1.0547563,80422700000.0,0.0165781
16,12,4.6186554,65666000000.0,0.0135362
18,4,3.065336,0.132872,3.42602e-15
18,6,2.919466,242813000000.0,0.007445116999999999
18,8,2.950566,0.316532,8.16161e-15
18,10,3.289808,262496000000.0,0.00676833
18,12,4.409045000000001,262496000000.0,0.00676833
20,4,12.710130000000001,2.51503,8.11512e-15
20,6,12.517570000000001,1047930000000.0,0.00338131
20,8,12.59955,2.5195,8.12956e-15
20,10,14.1433,1283450000000.0,0.00414124
20,12,16.46447,1047930000000.0,0.00338131
22,4,52.542269999999995,12.1166,4.8872e-15
22,6,50.76455,4193910000000.0,0.0016916000000000001
22,8,51.04018,49.0506,1.97844e-14
22,10,54.33108,4193910000000.0,0.0016916000000000001
22,12,67.67919,4193910000000.0,0.0016916000000000001
24,4,222.1676,1495.76,7.53872e-14
24,6,211.79149999999998,16781500000000.0,0.000845797
24,8,216.253,1099.97,5.54391e-14
24,10,224.5105,20553000000000.0,0.00103589
24,12,287.459,16781500000000.0,0.000845797
26,4,1060.8409,24933.4,1.57105e-13
26,6,857.527,67108700000000.0,0.000422851
26,8,872.6622,26331.9,1.65917e-13
26,10,1066.481,67108700000000.0,0.000422851
26,12,1382.845,67108700000000.0,0.000422851
