power,processes,time,abs_err,rel_err
16,4,0.2727338,0.0,0.0
16,6,0.2826782,0.0,0.0
16,8,0.2782998,0.0,0.0
16,10,0.5982615,0.0,0.0
16,12,1.40106865,0.0,0.0
18,4,0.9134708,0.0,0.0
18,6,0.7685367999999999,0.0,0.0
18,8,0.7915643,0.0,0.0
18,10,1.2569006,0.0,0.0
18,12,4.6100456,0.0,0.0
20,4,3.477852,0.0,0.0
20,6,3.107551,0.0,0.0
20,8,2.788231,0.0,0.0
20,10,2.440898,0.0,0.0
20,12,5.287625,0.0,0.0
22,4,14.378710000000002,0.0,0.0
22,6,11.82314,0.0,0.0
22,8,10.591028,0.0,0.0
22,10,9.655145,0.0,0.0
22,12,11.3653905,0.0,0.0
24,4,55.53832,0.0,0.0
24,6,45.94608,0.0,0.0
24,8,39.36296,0.0,0.0
24,10,37.59704,0.0,0.0
24,12,40.754975,0.0,0.0
26,4,254.7771,0.0,0.0
26,6,201.1474,0.0,0.0
26,8,180.7763,0.0,0.0
26,10,184.6047,0.0,0.0
26,12,201.21575,0.0,0.0
