power,threads,time,abs_err,rel_err
16,4,0.2526846,0.0,0.0
16,6,0.2849486,0.0,0.0
16,8,0.3900664,0.0,0.0
16,10,0.4339365,0.0,0.0
16,12,4.0718186,0.0,0.0
18,4,0.5753965,0.0,0.0
18,6,0.5187463,0.0,0.0
18,8,0.5657782,0.0,0.0
18,10,0.6557335,0.0,0.0
18,12,5.815923,0.0,0.0
20,4,1.357322,0.0,0.0
20,6,1.24839,0.0,0.0
20,8,1.242656,0.0,0.0
20,10,1.486992,0.0,0.0
20,12,3.979686,0.0,0.0
22,4,5.0419920000000005,0.0,0.0
22,6,3.954665,0.0,0.0
22,8,3.588893,0.0,0.0
22,10,3.317055,0.0,0.0
22,12,4.606494,0.0,0.0
24,4,16.00241,0.0,0.0
24,6,14.303833333333333,0.0,0.0
24,8,11.18007,0.0,0.0
24,10,10.449183999999999,0.0,0.0
24,12,11.007598999999999,0.0,0.0
26,4,64.72343,0.0,0.0
26,6,51.57137,0.0,0.0
26,8,42.68261,0.0,0.0
26,10,36.142790000000005,0.0,0.0
26,12,39.29105,0.0,0.0
