power,threads,time,abs_err,rel_err
16,4,0.2635012,0.0,0.0
16,6,0.340816,0.0,0.0
16,8,0.4408664,0.0,0.0
16,10,0.5392121,0.0,0.0
16,12,3.3108586000000004,0.0,0.0
18,4,0.48855649999999995,0.0,0.0
18,6,0.566507,0.0,0.0
18,8,0.67645,0.0,0.0
18,10,0.6901274,0.0,0.0
18,12,4.1096594,0.0,0.0
20,4,1.248666,0.0,0.0
20,6,1.266282,0.0,0.0
20,8,1.263556,0.0,0.0
20,10,1.2390459999999999,0.0,0.0
20,12,4.133464,0.0,0.0
22,4,4.580426,0.0,0.0
22,6,3.9892130000000003,0.0,0.0
22,8,3.8087919999999995,0.0,0.0
22,10,3.1784369999999997,0.0,0.0
22,12,3.710992,0.0,0.0
24,4,16.51766,0.0,0.0
24,6,14.144050000000002,0.0,0.0
24,8,11.559529999999999,0.0,0.0
24,10,11.011748,0.0,0.0
24,12,11.761652999999999,0.0,0.0
26,4,66.38641,0.0,0.0
26,6,49.12635,0.0,0.0
26,8,43.13589,0.0,0.0
26,10,37.935230000000004,0.0,0.0
26,12,37.11363,0.0,0.0
