power,threads,time,abs_err,rel_err
16,4,0.380143,0.0299411,6.17199e-15
16,6,0.5068946000000001,0.0299411,6.17199e-15
16,8,0.5532659,0.0299411,6.17199e-15
16,10,1.1815919,0.0299411,6.17199e-15
16,12,5.3694595,0.0299411,6.17199e-15
18,4,0.9306596,0.376387,9.70493e-15
18,6,0.9901227,0.376387,9.70493e-15
18,8,0.985472,0.376387,9.70493e-15
18,10,1.3011016999999998,0.376387,9.70493e-15
18,12,6.037188,0.376387,9.70493e-15
20,4,3.254513,4.12841,1.3320899999999999e-14
20,6,3.0251,4.12841,1.3320899999999999e-14
20,8,2.757947,4.12841,1.3320899999999999e-14
20,10,3.051905,4.12841,1.3320899999999999e-14
20,12,3.95642,4.12841,1.3320899999999999e-14
22,4,15.14334,49.9684,2.01546e-14
22,6,12.69816,49.9684,2.01546e-14
22,8,10.91576,49.9684,2.01546e-14
22,10,10.391232,49.9684,2.01546e-14
22,12,15.131496,49.9684,2.01546e-14
24,4,64.34979,832.943,4.19809e-14
24,6,56.89397,832.943,4.19809e-14
24,8,50.261880000000005,832.943,4.19809e-14
24,10,49.03564,832.943,4.19809e-14
24,12,54.38057,832.943,4.19809e-14
26,4,255.2926,28781.5,1.81352e-13
26,6,233.4044,28781.5,1.81352e-13
26,8,211.9912,28781.5,1.81352e-13
26,10,203.3564,28781.5,1.81352e-13
26,12,214.1893,28781.5,1.81352e-13
