power,threads,time,abs_err,rel_err
16,4,0.41477630000000004,0.0,0.0
16,6,0.42434960000000005,0.0,0.0
16,8,0.7583312,0.0,0.0
16,10,0.725214,0.0,0.0
16,12,4.7766399999999996,0.0,0.0
18,4,0.9144623,0.0,0.0
18,6,1.00558,0.0,0.0
18,8,1.0150215,0.0,0.0
18,10,1.2193018,0.0,0.0
18,12,5.2173429,0.0,0.0
20,4,3.098099,0.0,0.0
20,6,2.697655,0.0,0.0
20,8,2.994119,0.0,0.0
20,10,2.451556,0.0,0.0
20,12,5.063313,0.0,0.0
22,4,12.557500000000001,0.0,0.0
22,6,11.385092,0.0,0.0
22,8,10.440901,0.0,0.0
22,10,9.287301,0.0,0.0
22,12,11.153711,0.0,0.0
24,4,59.38346,0.0,0.0
24,6,55.186189999999996,0.0,0.0
24,8,49.968090000000004,0.0,0.0
24,10,48.35395,0.0,0.0
24,12,55.918780000000005,0.0,0.0
26,4,251.9369,0.0,0.0
26,6,222.2783,0.0,0.0
26,8,205.7786,0.0,0.0
26,10,207.0704,0.0,0.0
26,12,211.31239999999997,0.0,0.0
