power,threads,time,abs_err,rel_err
16,4,0.2449224,0.0,0.0
16,6,0.27493650000000003,0.0,0.0
16,8,0.4220192,0.0,0.0
16,10,0.4288177,0.0,0.0
16,12,4.2708284,0.0,0.0
18,4,0.37414139999999996,0.0,0.0
18,6,0.4031078,0.0,0.0
18,8,0.5945011,0.0,0.0
18,10,0.6282691,0.0,0.0
18,12,5.3277546000000005,0.0,0.0
20,4,0.9095784,0.0,0.0
20,6,0.8118774,0.0,0.0
20,8,1.0218754,0.0,0.0
20,10,0.9599069,0.0,0.0
20,12,2.977721,0.0,0.0
22,4,3.0577680000000003,0.0,0.0
22,6,2.49403,0.0,0.0
22,8,2.595403,0.0,0.0
22,10,2.566223,0.0,0.0
22,12,4.398656,0.0,0.0
24,4,9.504014999999999,0.0,0.0
24,6,9.2315,0.0,0.0
24,8,7.760895,0.0,0.0
24,10,7.064811000000001,0.0,0.0
24,12,8.924258,0.0,0.0
26,4,40.63883,0.0,0.0
26,6,36.962939999999996,0.0,0.0
26,8,28.10766,0.0,0.0
26,10,23.93406,0.0,0.0
26,12,26.168529999999997,0.0,0.0
